CATEGORIA,NOME CARDAPIO,NOME PDV,CÓD PDV,PREÇO VENDA CHEIO,DESCRICAO ITEM CARDAPIO
Pizzas Grandes,Metade Aldeota ,METADE *G* - ALDEOTA,10525,33.45,"Linguiça italiana, pimenta calabresa, mussarela, queijo provolone, cebola roxa e alho."
Pizzas grandes,Pizza Grande (1 Sabor),PRODUTO AMICIS,10532,59.9,"As pizzas Amici's são produzidas com exclusiva massa de pão italiano (crocante por fora e macia por dentro), molho de tomate artesanal e muito recheio. "
Pizzas Grandes,Pizza Grande (4 sabores),PRODUTO AMICIS,10532,69.9,"As pizzas Amici's são produzidas com exclusiva massa de pão italiano (crocante por fora e macia por dentro), molho de tomate artesanal e muito recheio. "
Pizzas Grandes,Pizza Grande (2 Sabores),PRODUTO AMICIS,10532,69.9,"As pizzas Amici's são produzidas com exclusiva massa de pão italiano (crocante por fora e macia por dentro), molho de tomate artesanal e muito recheio. "
Pizzas grandes,Samba do Amicis ,PIZZA *G* - SAMBA DO AMICIS,10555,71.9,"Linguiça italiana, bacon, mussarela, cebola roxa, cebolinha e orégano."
Pizzas 20 cm,Samba do Amicis ,PIZZA *P* - SAMBA DO AMICIS,10557,38.9,"Linguiça italiana, bacon, mussarela, cebola roxa, cebolinha e orégano."
Pizzas grandes,Metade Samba do Amici's ,METADE *G* - SAMBA DO AMICIS,10559,35.95,"Linguiça italiana, bacon, mussarela, cebola roxa, cebolinha e orégano."
Outros,Bacon fatiado,ADC - TIRAS DE BACON - UND MEDIDA PIZZA G,10617,7.9,O item adicional é servido em toda a pizza
Outros,Calabresa fatiada,ADC - CALABRESA FATIADA - UND MEDIDA PIZZA G,10618,7.9,O item adicional é servido em toda a pizza
Pizzas Grandes,Metade Bacon Catupiry,METADE *G* - BACON CATUPIRY,10653,38.45,"Tiras de bacon, mussarela, orégano e Catupiry Original."
Pizzas grandes,Bacon Catupiry,PIZZA *G* - BACON CATUPIRY,10655,76.9,"Tiras de bacon, mussarela, orégano e Catupiry Original."
