CATEGORIA,NOME CARDAPIO,NOME PDV,CÓD PDV,PREÇO VENDA CHEIO,DESCRICAO ITEM CARDAPIO
Outros,Salada verde,G303-MINI SALADA WRAP,20053,9.9,"Mix de folhas, molho mostarda e mel, cenoura, tomate em cubos, ricota e mix de grãos assados. "
Pratinhos,Pratinho Creme de frango,POP30-CREME DE FGO,40142,26.9,"Creme de frango, servido com arroz branco e farofa crispy."
Pratos Individuais,Pratinho Vatapá de frango,POP30-VATAPA FRANGO,40143,29.9,"Vatapá de frango, servido com baião de dois soltinho e farofa crispy."
Pratinhos,Pratinho Frango acebolado,POP30-FGO ACEBOLADO,40146,25.9,"Tirinhas de frango refogadas com cebola branca, servido com baião de dois cremoso."
Pratinhos,Pratinho Calabresa acebolada,POP30-CALBRSA ACEBOLD,40147,25.9,"Calabresa refogada com cebola branca, servido com baião de dois cremoso."
Pratinhos,Pratinho Panqueca de frango,POP30- PANQ FGO,40148,25.9,Panquecas de frango servidas com delicioso molho de queijos.
Pratinhos,Pratinho Panqueca de ricota com espinafre,POP30- PANQ RICOTA,40149,25.9,Panquecas de ricota com espinafre servidas com molho de tomates frescos.
Pratos Individuais,Creme de carne de sol ,POP50-CREME DE SOL,40152,40.9,"Creme de carne de sol, servido com baião de dois soltinho e farofa crispy."
Pratos Individuais,Creme de frango ,POP50-CREME DE FRANGO,40153,29.9,"Creme de frango, servido com arroz branco e farofa crispy."
Pratinhos,Vatapá de frango,POP50-VATAPA FRANGO,40154,26.9,"Vatapá de frango, servido com baião de dois soltinho e farofa crispy."
Pratos Individuais,Frango empanado com espaguete ao molho de queijos,POP50-ESP QUEIJOS FGO CROC,40155,32.9,Frango crocante servido sobre delicioso espaguete ao molho de queijos.
Pratos Individuais,Frango empanado com espaguete ao molho sugo,POP50-ESP SUGO FGO CROC,40156,31.9,Frango crocante servido sobre molho de tomates frescos.
Pratos Individuais,Frango acebolado,POP50-FGO ACEBOLADO,40157,29.9,"Tirinhas de frango refogadas com cebola braca, servido com baião de dois cremoso e farofa crispy."
Pratos Individuais,Calabresa acebolada,POP50-CALBRSA ACEBOLD,40158,29.9,"Calabresa refogada com cebola branca, servido com baião de dois cremoso e farofa crispy."
Pratos Individuais,Panqueca de frango,POP50-PANQ FGO,40159,30.9,"Panquecas de frango cobertas com delicioso molho de queijos, servidas com arroz branco e batata palha."
Pratos Individuais,Panqueca de ricota com espinafre,POP50-PANQ RICOTA,40160,30.9,"Panquecas de ricota com espinafre cobertas com molho de tomates frescos, servidas com arroz branco e batata palha."
Outros,Creme de carne de sol Família,FAM - CREME SOL,40164,104.9,Creme de carne de sol desfiada ao molho de queijos e coentro.
