CATEGORIA,NOME CARDAPIO,NOME PDV,CÓD PDV,PREÇO VENDA CHEIO,DESCRICAO ITEM CARDAPIO
Adicione ingredientes extras,Tomate em cubos,**ADC 30G-TOMATE CUBO,20376,1.9,Tomate cortado em cubinhos.
Adicione ingredientes extras,Tomate Seco,**ADC 25G-TOMATE SECO,20377,3.9,Tomate seco picado.
Adicione ingredientes extras,Chips de batata doce,**ADC 25G-CHIPS BATAT,20378,4.9,Chips de batata doce artesanal. 
Adicione ingredientes extras,Cebola crispy,**ADC 20G-CEBOLA CRISPY,20379,1.9,Tiras fininhas de cebola empanadas e fritas.
Adicione ingredientes extras,Queijo minhas ralado,**ADC 30G-MINAS RALAD,20380,3.9,Queijo minas ralado.
Adicione ingredientes extras,Cubinho de queijo coalho grelhado,**ADC 30G-COALHO CUBO,20381,3.9,Queijo coalho grelhado em cubinhos.
Adicione ingredientes extras,Creme de ricota,**ADC 40G-CREME RICOT,20382,2.9,Creme de ricota.
Selecione os complementos,Macaxeira Frita,ACP 60G-MACAX FRITA,20383,0,Macaxeira Frita cortada em cubinhos.
Que tal um extra?,Parmesão Ralado,**ADC-15G Q PARMESAO RLD,20385,4.9,Parmesão Ralado
Que tal um extra?,Gorgonzola em cubos,**ADC-20G Q GORGONZOL,20386,3.9,Gorgonzola em cubos.
Que tal um extra?,Tomate seco,**ADC-30G TOMATE SECO,20387,3.9,Tomate seco.
Que tal um extra?,Ovo de codorna,**ADC-3UN OVO COD MEI,20388,3.9,Ovos de codorna.
Que tal um extra?,Creme de ricota,**ADC-30G CREME RICOT,20389,2.9,Creme de ricota.
Que tal um extra?,Queijo coalho ralado,**ADC-30G Q COALH RLD,20390,3.9,Queijo coalho ralado.
Escolha os ingredientes,Couve crispy,COUVE CRISPY 10G,20391,0,Couve crispy.
Escolha os ingredientes,Picles de cebola roxa,PICLS CEBOLA ROXA 25G,20392,0,Picles de cebola roxa.
Adicione dois ingredientes,Couve crispy,ACP-10G COUVE CRISPY,20393,0,Couve crispy.
Adicione dois ingredientes,Picles de cebola roxa,ACP-25G PICLS CEBOL R,20394,0,Picles de cebola roxa.
Alface ou Coleslaw?,Salada Coleslaw,ACP-60G COLESLAW,20395,0,"Salada de repolho branco com cenoura ralada, molho ranch e cebolinha."
Item principal,Tiras de frango crocante.,ACP-FGO CROCANT TIRAS,20396,0,Tiras de filé de peito de frango empanado na farinha panko.
Item principal,Tiras de Carne de Sol,ACP-60GTIRAS CARN SOL,20397,0,Tiras de Carne de Sol refogado com cebola branca.
Item principal,Lombo Suíno desfiado,ACP-60GSUÍNO DESFIADO,20398,0,Lombo súino desfiado refogado com cebola branca
Adicione dois ingredientes,Rúcula,ACP-15G RUCULA,20399,0,Rúcula.
Adicione dois ingredientes,Palha de batata doce,ACP-30G PALHA DOCE,20400,0,Palha de batata doce bem crocante.
Adicione dois ingredientes,Brócolis refogado,ACP-30G BROCOLIS,20401,0,Brócolis picadinho e temperado.
Escolha uma opção de queijo,Mussarela ralada,ACP-30G MUSSARELA,20402,1.9,Queijo mussarela ralado.
Saladas,Salada de Frango com gorgonzola,SALADA FGO GORGOZONLA,20795,45.9,"Mix de alfaces (alface americana e alface roxa), cenoura ralada, tomate em cubos, frango desfiado refogado com cebola e salsinha, gorgonzola e queijo minas. "
Saladas,Salada de falafel,SALADA FALAFEL,20796,39.9,"Mix de alfaces (alface americana e alface roxa), grão de bico temperado, tomate em cubos, molho sour cream e falafel."
Wraps,Wrap de falafel,WRAP FALAFEL,20797,29.9,"Falafel de grão de bico, tomate em cubos, cenoura, molho sour cream e alface americana, tudo enroladinho no pão folha."
Wraps,Wrap de frango com gorgonzola,WRAP FRANGO GORGNZOLA,20798,34.9,"frango desfiado refogado com cebola e salsinha, creme de ricota, queijo gorgonzola, cenoura e alface americana, tudo enroladinho no pão folha."
Outros,Queijo coalho,ADC(+)COALHO 30G,20799,"R$ 3,90",Queijo coalho ralado. Item servido na salada. 30g
Outros,Tomate seco,ADC(+)TOMATE SECO 30G,20801,"R$ 3,90",Tomate seco picado. Item servido na salada. 30g
Outros,Ovo de codorna,ADC(+)OVO CODORNA 4UN,20802,"R$ 3,90",Ovos de codorna. Item servido na salada. 4 unidades.
Outros,Milho verde,ADC(+)MILHO VERDE 30G,20803,2.9,Milho verde. Item servido na salada. 30g
Outros,Grão de bico aromático,ADC(+)GRAO BICO 50G,20805,2.9,Grão de bico temperado com especiarias e suco de limão. Item servido na salada. 50g
Escolha sua base favorita,Feijão carioca,ACP 70G-FEIJAO,20806,0,Feijão carioquinha.
Selecione a proteína,Carne moída,ACP-60G CARNE MOIDA,20807,0,Carne moída refogada com mix de especiarias.
Selecione os complementos,Palha de batata doce,ACP-20G PALHA DOCE,20808,0,Palha de batata doce bem crocante.
Adicione ingredientes extras,Palha de batata doce,**ADC-20G PALHA DOCE,20809,1.9,Palha de batata doce bem crocante.
Outros,Salada do meu jeito,SALADA DO MEU JEITO--,80150,39.9,A Soodeli traz para você a opção de montar a sua própria salada! Do seu jeito!
Outros,Alface americana,ALFACE AMERICANA 80G,80151,0,Base de alface americana para a sua salada.
Outros,Mix de Alfaces,MIX DE ALFACES 80G,80152,0,Base de alface americana e alface roxa.
