CATEGORIA,NOME CARDAPIO,NOME PDV,CÓD PDV,PREÇO VENDA CHEIO,DESCRICAO ITEM CARDAPIO
BUONI - 4 SABORES GRANDES,4 sabores - 10/10 (Grande),PIZZA 4 SB *G* - 10/10,55134,15.99,Bacon & milho & mussarela = 10/10. 
BUONI - 4 SABORES GRANDES,4 sabores - Avisa Que É Ela (Grande),PIZZA 4 SB *G* - AVISA QUE E ELA,55137,16.99,"Calabresa, cheddarcream e mussarela. Avisa que é ela, bb."
BUONI - 4 SABORES GRANDES,4 sabores - Lenda (Grande),PIZZA 4 SB *G* - LENDA,55138,16.99,"Frango refogado, cream cheese, milho e mussarela. Uma combinação definitivamente lendária."
BUONI - 4 SABORES GRANDES,4 sabores - Cremosa (Grande),PIZZA 4 SB *G* - CREMOSA,55141,16.99,"Gorgonzola, cebola caramelizada, alho e mussarela. Pra essa você vai dizer: trabalhar para conquistar minha cremosa."
BUONI - 4 SABORES GRANDES,4 sabores - Buoni Melt (Grande),PIZZA 4 SB *G* - BUONI MELT,55135,17.99,"Cheddar, bacon, cebola caramelizada e mussarela. Essa não vem com brinde do palhaço, mas você vai amar tudo isso."
BUONI - 4 SABORES GRANDES,4 sabores - Gera (Grande),PIZZA 4 SB *G* - GERA,55136,17.99,"Frango refogado, bacon, molho barbecue e mussarela fazem uma pizza perfeita para antes, durante e depois do gera."
BUONI - 4 SABORES GRANDES,4 sabores - Resenha (Grande),PIZZA 4 SB *G* - RESENHA,55139,17.99,"Cream cheese, mussarela e gorgonzola, se unem para uma resenha daquelas."
BUONI - 4 SABORES GRANDES,4 sabores - Bem Patrícia (Grande),PIZZA 4 SB *G* - BEM PATRICIA,55140,17.99,"Lombo, cream cheese, geleia de pimenta artesanal e mussarela. Lá vem ela, toda produzida, bem patrícia."
BUONI - 4 SABORES GRANDES,4 sabores - Entrega Tudo (Grande),PIZZA 4 SB *G* - ENTREGA TUDO,55142,17.99,"Pepperoni, cebola roxa, pimentão, milho, champignon e mussarela. Palmas que essa entrega tudo!"
BUONI - 4 SABORES GRANDES,4 sabores - Esquenta (Grande),PIZZA 4 SB *G* - ESQUENTA,55143,19.99,Pepperoni com creamcheese para esquentar seu rolê.
BUONI - 4 SABORES GRANDES,4 sabores - Rocheda (Grande),PIZZA 4 SB *G* - ROCHEDA,55144,19.99,"Carne de sol, cebola roxa, cream cheese e mussarela só podiam dar em um sabor rocheda."
BUONI - 4 SABORES GRANDES,4 sabores - Larica (Grande),PIZZA 4 SB *G* - LARICA,55145,19.99,"Calabresa, cream cheese, geleia de pimenta artesanal e Doritos. Tem o salgado de calabresa e mussarela, o doce e apimentado da geléia de pimenta artesanal, a cremosidade do cream cheese e o creck do Doritos."
BUONI - ADICIONAIS SLICES,Calabresa,**ADC - 6UN CALABRESA FAT,55162,1.9,20g
BUONI - ADICIONAIS SLICES,Alho frito,**ADC - 2G ALHO FRITO,55163,0.9,2g
BUONI - ADICIONAIS SLICES,Ovo,**ADC - 20G OVO COZIDO,55164,1.9,20g
BUONI - ADICIONAIS SLICES,Presunto,**ADC - 20G PRESUNTO RALADO,55165,1.9,20g
BUONI - ADICIONAIS SLICES,Milho,**ADC - 10G MILHO VERDE,55166,0.9,10g
BUONI - ADICIONAIS SLICES,Bacon,**ADC - 2UN TIRAS DE BACON,55167,4.9,2 unidades
BUONI - ADICIONAIS SLICES,Cream Cheese,**ADC - 20G CREAM CHEESE,55168,2.9,20g
BUONI - ADICIONAIS SLICES,Gorgonzola,**ADC - 15G GORGONZOLA,55169,3.9,15g
BUONI - ADICIONAIS SLICES,Geleia de pimenta artesanal.,**ADC - 40G GELEIA DE PIMENTA,55170,1.9,40g
BUONI - ADICIONAIS SLICES,Cebola caramelizada,**ADC - 20G CEBOLA CARAMELIZADA,55171,1.9,20g
BUONI - ADICIONAIS SLICES,Creme de cheddar,**ADC - 20G CREME CHEDDAR,55172,2.9,20g
